salt_names,side_effects
Pyrimethamine ,"Feeling of fullness, Mouth sore, Vomiting, Nausea, Fatigue, Dizziness, Skin rash, Headache, Diarrhea"
Pyritinol ,"Hormone imbalance, Insomnia (difficulty in sleeping), Taste change, Mood swings, Allergic reaction, Restlessness, Gastrointestinal discomfort, Slow growth in children and teenagers"
Quetiapine ,"Decreased haemoglobin level in blood, Dizziness, Withdrawal symptoms, Dryness in mouth, Extrapyramidal symptoms, Drowsiness, Headache, Weight gain, Increased triglyceride level in blood, Decreased cholesterol level in blood"
Quinine ,"ears, Increased sweating, Vomiting, Dizziness, Deafness, Nausea, Abdominal pain, Ringing in ear, Blurred vision, Vertigo, neck and trunk), Flushing (sense of warmth in the face, Headache, Diarrhea"
Quiniodochlor ,"Vomiting, Nausea, Dizziness, Hair loss, Fever, Abdominal pain, Abnormal liver function tests, Vertigo, Headache"
Rabeprazole ,"Flatulence, Vomiting, Dizziness, Nausea, Sore throat, Stomach pain, Headache, Diarrhea"
Racecadotril ,"Vomiting, Nausea, Dizziness, Stomach pain, Fever, Itching, Rash, Headache"
Raloxifene ,"Flu-like symptoms, Joint pain, Sweating, Peripheral edema, Hot flashes, Leg cramps"
Ramipril ,"Indigestion, Increased glucose level in blood, Fatigue, Increased liver enzymes, Muscle pain, Vomiting, Nausea, Stomach pain, Glucose intolerance, Drowsiness, Diarrhea, Cough, Dizziness, Increased uric acid level in blood, Increased potassium level in blood, Increased blood uric acid, Headache, Taste change, Decreased blood pressure, Dry cough, Electrolyte imbalance, Increased blood lipid level, Weakness"
Ramosetron ,"Dizziness, Constipation, Headache, Injection site pain"
Ranibizumab ,"Eye inflammation, Eye pain, Increased intraocular pressure, Conjunctival hemorrhage"
Ranitidine ,"Tiredness, Constipation, Sleepiness, Headache, Diarrhea"
Rasagiline ,"Indigestion, Joint pain, Flu-like symptoms, Insomnia (difficulty in sleeping), Depression, Peripheral edema, Cough"
Rasburicase ,"Hives, Vomiting, Nausea, Fever, Rash, Headache, Diarrhea"
Rebamipide ,Indigestion
Recombinant Human Epidermal Growth Factor ,"Pain, Rash, Skin irritation"
Recombinant Human Erythropoietin Alfa ,"Nausea, High blood pressure, Fever, Vomiting"
Recombinant follicle stimulating hormone ,"Injection site allergic reaction, Ovarian cysts, Acne, Abdominal pain, Rash, Gastrointestinal discomfort, Swelling of breast in male, Headache"
Remogliflozin Etabonate ,"Urinary tract infection, Nausea, Genital fungal infection, Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea, Frequent urge to urinate, Increased thirst"
Resveratrol ,Limited data available
Ribavirin ,"Muscle pain, Fatigue, Fever, Headache, Weakness"
Ribociclib ,"Back pain, Decreased white blood cell count, Nausea, Fatigue, Hair loss, Constipation, Vomiting, Anemia (low number of red blood cells), Headache, Diarrhea"
Rifampicin ,"Headache, Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Vomiting, Nausea, Sweating, Increased sputum production, Fever, Visual impairment, Dizziness, Increased uric acid level in blood, Salivation, Watery eyes, Rash, Dark colored urine, Gout, Low blood platelets, Increased liver enzymes"
Rifaximin ,"Vomiting, Dizziness, Nausea, Fever, Chills, Headache"
Riluzole ,"Increased heart rate, Vomiting, Dizziness, Nausea, Abdominal pain, Abnormal liver function tests, Pain, Paresthesia (tingling or pricking sensation), Sleepiness, Headache, Diarrhea, Decreased pulmonary function, Weakness"
Risedronate ,"muscle or joint) pain, Musculoskeletal (bone, Headache, Diarrhea, Heartburn"
Risperidone ,"Increased prolactin level in blood, Nausea, Insomnia (difficulty in sleeping), Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Nervousness, Drowsiness, Dryness in mouth, Sleepiness, Parkinsonism, Headache, Weight gain, Sedation"
Ritodrine ,"Increased heart rate, Arrhythmia (irregular heartbeats), Dizziness, Loss of appetite, Chest discomfort, Dryness in mouth, Drowsiness, Breathlessness, Chest pain"
Ritonavir ,"Peripheral neuropathy (tingling and numbness of feet and hand), Vomiting, Nausea, Taste change, Stomach pain, Increased blood lipid level, Headache, Diarrhea, Increased liver enzymes"
Rituximab ,"Increased risk of infection, Decreased white blood cell count (neutrophils), white cells, Decreased blood cells (red cells, Hair loss, Itching, Edema (swelling), Infusion reaction, Chills, Infection, and platelets), Headache, Febrile neutropenia, Weakness"
Rivastigmine ,"Indigestion, Vomiting, Nausea, Weight loss, Weakness"
Rizatriptan ,"Dizziness, Nausea, Jaw pain, Heaviness, Throat pain, Dryness in mouth, Sleepiness, Neck pain, Weakness"
Rocuronium ,High blood pressure
Roflumilast ,"Back pain, Dizziness, Insomnia (difficulty in sleeping), Nausea, Weight loss, Headache, Diarrhea, Decreased appetite, Flu"
Romiplostim ,"Pain in extremity, Indigestion, Joint pain, Muscle pain, Dizziness, Insomnia (difficulty in sleeping), Abdominal pain, Paresthesia (tingling or pricking sensation), Headache"
Ropinirole ,"Indigestion, Confusion, Viral infection, Vomiting, Dizziness, Nausea, Hallucination, Edema (swelling), Sleepiness, Abnormality of voluntary movements, Headache, Fainting, Weakness"
Rotavirus vaccine ,"Vomiting, Fever, Loss of appetite, Irritability, Cough"
Roxithromycin ,"Vomiting, Nausea, Abdominal pain, Allergy, Diarrhea"
Rubella vaccine ,"Sore throat, Injection site reactions (pain, Fever, swelling, Rash, redness)"
Ruxolitinib ,"Dizziness, Headache, Low blood platelets, Anemia (low number of red blood cells)"
Saccharomyces boulardii ,"Bloating, Flatulence"
Safinamide ,"Indigestion, Flu-like symptoms, Joint pain, Depression, Insomnia (difficulty in sleeping), Peripheral edema, Cough"
Salbutamol ,"Increased heart rate, Tremor, Vomiting, Nausea, Palpitations, Restlessness, Headache, Muscle cramp"
Salicylic Acid ,"Application site irritation, Skin staining"
Saline ,"redness), Injection site reactions (pain, swelling"
Salmeterol ,"Increased heart rate, Fungal infection of mouth, Hoarseness of voice, Vomiting, Nausea, Sore throat, muscle or joint) pain, Respiratory tract infection, Headache, Musculoskeletal (bone, Cough"
Salmonella Typhi Vaccine ,"Tiredness, Nausea, Injection site reactions (pain, swelling, Fever, Headache, redness)"
Sargramostim ,"ears, Flu-like symptoms, Bone pain, Vomiting, Nausea, Decreased blood pressure, Fever, Feeling of discomfort, Rash, neck and trunk), Flushing (sense of warmth in the face, Diarrhea, Breathlessness"
Saroglitazar ,"Stomach inflammation, Fever, Weakness"
Satranidazole ,"Vomiting, Nausea, Dizziness, Stomach pain, Loss of appetite, Dryness in mouth, Metallic taste, Headache"
Secnidazole ,"Gastrointestinal disturbance, Glossitis (tongue inflammation), Vomiting, Nausea, Abdominal pain, Stomach pain, Taste change, Stomatitis (Inflammation of the mouth), Rash, Dryness in mouth, Metallic taste, Headache, Diarrhea, Vaginal itching"
Selegiline ,"Indigestion, Joint pain, Flu-like symptoms, Insomnia (difficulty in sleeping), Depression, Peripheral edema, Cough"
Seratrodast ,"Nausea, Abdominal pain, Anemia (low number of red blood cells), Itching, Loss of appetite, Stomach discomfort, Rash, Dryness in mouth, Drowsiness, Headache, Diarrhea"
Serratiopeptidase ,No common side effects seen
Sertaconazole ,"itching and redness), Thinning of skin, Skin peeling, irritation, Skin irritation, Application site reactions (burning"
Sertraline ,"Indigestion, Tremor, Increased sweating, Nausea, Insomnia (difficulty in sleeping), Loss of appetite, Erectile dysfunction, Low sexual desire, Delayed ejaculation, Diarrhea"
Sevelamer ,"Flatulence, Upper abdominal pain, Nausea, Constipation, Vomiting, Diarrhea"
Sevoflurane ,"Nightmare, Double vision, Vomiting, Nausea, Hallucination, High blood pressure, Agitation, Confusion, Generalized tonic-clonic seizure, Slow heart rate, Abnormal dreams"
Sildenafil ,"Indigestion, Stiffness, ears, Muscle pain, Vomiting, Dizziness, Nausea, Nosebleeds, Blurred vision, Upset stomach, Rash, Dryness in mouth, neck and trunk), Flushing (sense of warmth in the face, Headache"
Silodosin ,"Breast pain, Dizziness, Retrograde ejaculation, Tiredness, Orthostatic hypotension (sudden lowering of blood pressure on standing), Ejaculation disorder, Nasal congestion (stuffy nose), Headache, Diarrhea, Impotence"
Silymarin ,"Indigestion, Back pain, Nausea, Dizziness, Stomach pain, Hair loss, Sticky stools, Loss of appetite, Upset stomach, Bloating, Itching, Rash, Dryness in mouth, Drowsiness, Diarrhea"
Simethicone ,"Diarrhea, Upset stomach"
Sitagliptin ,"Headache, Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea, Nasopharyngitis (inflammation of the throat and nasal passages), Upper respiratory tract infection"
Sitagliptin  ,"Vomiting, Nausea, Sore throat, Respiratory tract infection, Upset stomach, Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea, Nasal congestion (stuffy nose), Headache, Diarrhea"
Snake Venom Antiserum ,"Joint pain, Shock, Hives, Decreased blood pressure, Breathlessness, Serum sickness, Anaphylactic reaction"
Sodium Bicarbonate ,"Flatulence, No common side effects seen, Stomach cramp"
Sodium Chloride ,No common side effects seen
Sodium Cromoglycate ,"Nasal irritation, Sneezing, Stinging sensation, Burning sensation"
Sodium Feredetate ,"Vomiting, Nausea, Constipation, Dark colored stool, Diarrhea"
Sodium Fluoride ,Injection site reaction
Sodium Fusidate ,"irritation, itching and redness), Application site reactions (burning"
Sodium Picosulfate ,"Vomiting, Nausea, Stomach pain, Headache, Diarrhea"
Sodium Stibogluconate ,"Joint pain, Muscle pain, Vomiting, Nausea, Abdominal pain, Tiredness, Headache, Diarrhea"
Sodium acid phosphate ,"Nausea, Diarrhea"
Sodium aminosalicylate ,"Peripheral neuropathy (tingling and numbness of feet and hand), Jaundice, Vomiting, Nausea, Fever, Allergic reaction, Rash, Skin rash, Increased liver enzymes"
Sofosbuvir ,"Tiredness, Nausea, Insomnia (difficulty in sleeping), Fatigue, Anemia (low number of red blood cells), Headache"
Solifenacin ,"Nausea, Constipation, Blurred vision, Upset stomach, Dryness in mouth, Urinary tract infection"
Soluble Insulin ,"Lipodystrophy (skin thickening or pits at the injection site), Injection site allergic reaction, Itching, Rash, Edema (swelling), Hypoglycemia (low blood glucose level), Weight gain"
Somatostatin ,"Flatulence, Gallstones, Increased glucose level in blood, Abdominal pain, Constipation, Injection site reaction, Headache, Diarrhea"
Sorafenib ,"Fatigue, Nausea, Abdominal pain, Hair loss, Loss of appetite, Weight loss, Rash, Painful blisters on hands and feet, Diarrhea"
Sorbitol ,"Nausea, Diarrhea, Stomach cramp"
Sorbitol Solution ,"Nausea, Stomach cramp, Vomiting"
Stannous fluoride ,"Taste change, Gum Irritation"
Stanozolol ,"Breast enlargement, Edema (swelling), Fluid retention"
Streptomycin ,"Vertigo, Fever, Skin rash, Vomiting"
Strontium Ranelate ,"Indigestion, Joint pain, Muscle pain, Vomiting, Abdominal pain, Constipation, Sleep disorder, Muscle cramp"
Succinyl Choline Chloride ,"Muscle twitching, Abdominal pain, Nausea, Flushing of skin, Blurred vision, Abdominal cramp, High blood pressure, Skin rash, Excessive salivation"
Sucralfate ,"Application site burning, itching and redness), Vomiting, Nausea, Constipation, Dizziness, Insomnia (difficulty in sleeping), irritation, Allergic reaction, No common side effects seen, Application site reactions (burning"
Sulbutiamine ,"Anxiety, Headache, Skin rash"
Sulfadiazine ,"Nausea, Diarrhea, Allergic reaction, Vomiting"
Sulfamethopyrazine ,"Nausea, Allergic reaction, Skin rash, Vomiting"
Sulfamethoxazole ,"Nausea, Allergic reaction, Skin rash, Vomiting"
Sulfasalazine ,"Oligospermia (low sperm count), Vomiting, Nausea, Loss of appetite, Weight loss, Gastrointestinal discomfort, Headache, Diarrhea"
Sulphacetamide ,"Eye irritation, itching and redness), Burning sensation, Stinging sensation, Burning sensation in eye, irritation, Stinging in the eyes, Irritation, Eye discomfort, Application site reactions (burning"
Sumatriptan ,"ears, Peripheral neuropathy (tingling and numbness of feet and hand), Flushing (sense of warmth in the face, Nausea, Dizziness, Arrhythmia (irregular heartbeats), Chest discomfort, Muscle stiffness, Dryness in mouth, neck and trunk), Drowsiness, Numbness of extremity, Feeling hot, Heartburn, Weakness"
Suxamethonium ,"Increased heart rate, High blood pressure, Slow heart rate, Skin rash"
Tacrolimus ,"itching and redness), Increased glucose level in blood, Nausea, Stomach pain, irritation, Kidney damage, Application site reactions (burning, Liver damage, Diarrhea, Increased thirst"
Tadalafil ,"Indigestion, ears, Muscle pain, Vomiting, Nausea, Dizziness, Nosebleeds, Blurred vision, Upset stomach, Rash, Dryness in mouth, neck and trunk), Flushing (sense of warmth in the face, Headache"
Tamoxifen ,"Nausea, Mood swings, Fluid retention, Hot flashes, Vaginal discharge, Vaginal bleeding"
Tamsulosin ,"Breast pain, Dizziness, Retrograde ejaculation, Low sexual desire, Ejaculation disorder, Runny nose, Impotence"
Tamsulosin  ,"Breast pain, Dizziness, Ejaculation disorder, Decreased libido, Impotence"
Tapentadol ,"Vomiting, Nausea, Constipation, Dizziness, Sleepiness"
Taurine ,"Nausea, Fever, Rash, Vomiting"
Tegafur ,"Mouth sore, white cells, Vomiting, Nausea, Tiredness, Stomach pain, Decreased blood cells (red cells, Sore tongue, Loss of appetite, and platelets), Diarrhea"
Tegaserod ,"Flatulence, Nausea, Dizziness, Headache, Diarrhea"
Teicoplanin ,"Injection site reactions (pain, swelling, Itching, Fever, Skin rash, redness)"
Telmisartan ,"Indigestion, ears, Nausea, Tiredness, Stomach pain, Palpitations, Glucose intolerance, Sleepiness, neck and trunk), Flushing (sense of warmth in the face, Numbness of extremity, Ankle swelling, Diarrhea, Cough, Dizziness, Cold extremities, Upset stomach, Increased potassium level in blood, Increased blood uric acid, Headache, Slow heart rate, Altered blood lipid level, Taste change, Decreased blood pressure, Weakness"
Temozolomide ,"Coordination disorder, Viral infection, Hemiparesis (weakness on one side of the body), Vomiting, Nausea, Constipation, Fatigue, Dizziness, Fever, Hair loss, Insomnia (difficulty in sleeping), Loss of appetite, Memory loss, Rash, Headache, Diarrhea, Weakness, Convulsion"
Teneligliptin ,"Hypoglycemia (low blood glucose level), Constipation"
Tenofovir Alafenamide ,Headache
Tenofovir disoproxil fumarate ,"Flatulence, Vomiting, Nausea, Insomnia (difficulty in sleeping), Rash, Headache, Diarrhea"
Terbinafine ,"Abnormal liver enzyme, itching and redness), Nausea, Skin peeling, Thinning of skin, irritation, Rash, Application site reactions (burning, Headache"
Terbutaline ,"Increased heart rate, Indigestion, Tremor, Hives, Loss of appetite, Skin rash, Increased white blood cell count, Nasal inflammation, Sweating, Vomiting, Nausea, Constipation, Stomach pain, Palpitations, Drowsiness, Diarrhea, Dizziness, Itching, Bloating, Headache, Breathing problems, Rash, Heartburn"
Teriparatide ,"Joint pain, Nausea, Injection site reactions (pain, swelling, Leg cramps, redness)"
Terlipressin ,"Peripheral ischemia, Vasoconstriction of the extremities, Abdominal cramp, High blood pressure, Headache, Diarrhea, Slow heart rate"
Testosterone ,"Breast enlargement, Voice change, Acne, itching and redness), Dizziness, Injection site reactions (pain, swelling, irritation, Application site reactions (burning, Leg pain, redness)"
Testosterone Propionate ,"Breast enlargement, Injection site pain, Acne, Increased red blood cells, Prostate enlargement, Weight gain"
Tetanus Immunoglobulin ,"Tiredness, Drowsiness"
Tetanus Toxoid ,"Injection site reactions (pain, swelling, Loss of appetite, Fever, redness)"
Tetrabenazine ,"Nausea, Insomnia (difficulty in sleeping), Anxiety, Fatigue, Depression, Sleepiness, Akathisia (inability to stay still)"
Tetracycline ,"Indigestion, Vomiting, Nausea, Dizziness, Photosensitivity, Stomach pain, Tiredness, Application site irritation, Burning sensation, Dryness in mouth, Metallic taste, Headache, Diarrhea"
Thalidomide ,"Tremor, Fatigue, Loss of appetite, Dry skin, Decreased white blood cell count, Nausea, Anxiety, Blood clots, Constipation, Weight loss, Sleepiness, Confusion, Weight gain, Muscle weakness, Dizziness, Edema (swelling), Decreased white blood cell count (neutrophils), Headache, Neuropathy, Decreased calcium level in blood, Fever, Rash, Weakness"
Theophylline ,"Vomiting, Nausea, Upset stomach, Restlessness, Headache"
Thiamine,No common side effects seen
Thiocolchicoside ,"Vomiting, Nausea, Stomach pain, Injection site reactions (pain, swelling, Loss of appetite, Upset stomach, Dryness in mouth, Sleepiness, Diarrhea, redness), Heartburn"
Thiopental Sodium ,"Vomiting, Nausea, Vertigo, Injection site reactions (pain, swelling, Skin rash, Drowsiness, Diarrhea, redness)"
Thioridazine ,"Increased prolactin level in blood, Tremor, Urinary retention, Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Muscle stiffness, Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Weight gain"
Thymosin alpha ,"Joint pain, Hypotonia (decreased muscle tone), Skin rash"
Thyroxine ,"ears, Vomiting, Nervousness, Anxiety, Palpitations, Weight loss, Restlessness, neck and trunk), Flushing (sense of warmth in the face, Diarrhea"
Tibolone ,"Endometrial hyperplasia, Breast pain, Cervical thickening, Genital itching, Abnormal hair growth, Breast tenderness, Pelvic pain, Lower abdominal pain, Vaginal discharge, Weight gain, Vaginal bleeding"
Ticagrelor ,"Breathlessness, Bleeding"
Ticarcillin ,"Vomiting, Nausea, Allergic reaction, Rash, Diarrhea"
Tigecycline ,"Vomiting, Nausea, Stomach pain, Headache, Diarrhea, Increased liver enzymes"
Timolol ,"Change in color of iris, Darkening of eyelashes, Tiredness, Stinging sensation, Burning sensation in eye, Itching, Blurred vision, Burning eyes, Stinging in the eyes, Irritation, Foreign body sensation, Eye pain, Dryness in mouth, Drowsiness, Headache, Eye redness"
Tinidazole ,"Indigestion, Flatulence, Vomiting, Nausea, Tiredness, Stomach pain, Dizziness, Dryness in mouth, Skin rash, Metallic taste, Headache, Diarrhea"
Tiotropium ,"Increased heart rate, Constipation, Blurred vision, Upper respiratory tract infection, Dryness in mouth"
Tizanidine ,"Dizziness, Dryness in mouth, Sleepiness, Upset stomach"
Tobramycin ,"Eye irritation, Eye inflammation, itching and redness), Burning sensation, Eye itching, irritation, Watery eyes, Dry eye, Eye discomfort, Application site reactions (burning, Eye redness"
Tocilizumab ,"Upper respiratory tract infection, High blood pressure, Headache, Increased liver enzymes, Nasopharyngitis (inflammation of the throat and nasal passages)"
Tofacitinib ,"Headache, Diarrhea, Nasopharyngitis (inflammation of the throat and nasal passages), Upper respiratory tract infection"
Tolnaftate ,"Itching, Skin rash, Skin irritation"
Tolperisone ,"Vomiting, Dizziness, Nausea, Loss of appetite, Stomach pain/epigastric pain, Sleepiness, Diarrhea, Heartburn, Weakness"
Tolterodine ,"Dizziness, Constipation, Blurred vision, Dryness in mouth, Sleepiness, Headache, Diarrhea"
Tolvaptan ,"Constipation, Dryness in mouth, Nocturia (increased urge to urinate during the night), Frequent urge to urinate, Increased thirst"
Topiramate ,"Numbness, Psychomotor impairment, Abdominal pain, Fatigue, Dizziness, Fever, Memory impairment, Loss of appetite, Nausea, Nervousness, Taste change, Upper respiratory tract infection, Visual impairment, Speech disorder, Weight loss, Sleepiness, Diarrhea"
Tramadol ,"Vomiting, Dizziness, Constipation, Nausea, Sleepiness"
Tranexamic Acid ,"Indigestion, Loss of appetite, Sinus inflammation, Vomiting, Tiredness, Nausea, Stomach pain, Sinus pain, Injection site reactions (pain, swelling, Diarrhea, Musculoskeletal (bone, redness), Anemia (low number of red blood cells), Headache, muscle or joint) pain, Nasal congestion (stuffy nose), Rash, Heartburn"
Trastuzumab ,"Decreased blood cells (red cells, Fatigue, Chills, Infection, Heart failure, Nausea, Weight loss, Mucosal inflammation, Stomatitis (Inflammation of the mouth), Diarrhea, Common cold, Cough, white cells, Anemia (low number of red blood cells), Headache, and platelets), Insomnia (difficulty in sleeping), Taste change, Fever, Upper respiratory tract infection, Rash"
Travoprost ,Conjunctival hyperemia
Tretinoin ,"Dry lips, Erythema (skin redness), Pale red skin, Skin irritation, Dry skin, Increased sensitivity to light"
Triamcinolone ,"Joint pain, Application site irritation, Injection site reactions (pain, swelling, Infection, Headache, redness)"
Tricholine Citrate ,"Drowsiness, Constipation, Dryness in mouth"
Triclofos ,"Drowsiness, Impaired coordination, Nausea, Vomiting"
Trifluoperazine ,"Increased prolactin level in blood, Tremor, Nausea, Constipation, Urinary retention, Orthostatic hypotension (sudden lowering of blood pressure on standing), Dizziness, Blurred vision, Nervousness, Muscle stiffness, Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Weight gain, Sedation"
Trihexyphenidyl ,"Vomiting, Nausea, Constipation, Dizziness, Nervousness, Blurred vision, Upset stomach, Difficulty in urination, Dryness in mouth, Headache"
Trimethoprim ,"Hives, Feeling sick, Vomiting, Nausea, Anemia (low number of red blood cells), Skin rash, Headache, Diarrhea, Mouth ulcer"
Triptorelin ,"Impotence, Back pain, Increased sweating, Paresthesia (tingling or pricking sensation), Decreased libido, Weakness"
Tropicamide ,"Dryness in mouth, Blurred vision, Stinging in the eyes"
Trypsin ,"Indigestion, Vomiting, Nausea, Stomach pain, Loss of appetite, Diarrhea, Heartburn"
Trypsin Chymotrypsin ,Limited data available
Ulinastatin ,"redness), Injection site reactions (pain, swelling, Increased liver enzymes"
Univestin ,"Nausea, Abdominal pain, Indigestion"
Urofollitropin ,"Abdominal pain, Nausea, Hot flushes, Bloating, Abdominal cramp, Pelvic pain, Headache, Respiratory disorder"
Ursodeoxycholic Acid ,"Abdominal pain, Nausea, Hair loss, Itching, Rash, Diarrhea"
Valacyclovir ,"Nausea, Headache, Abdominal pain"
Valethamate ,"Increased heart rate, Urinary retention, Constipation, Blurred vision, Dilatation of pupil, Difficulty in swallowing, Dryness in mouth"
Valganciclovir ,"Decreased white blood cell count, Vomiting, Fever, Anemia (low number of red blood cells), Diarrhea, Low blood platelets"
Valsartan ,"Dizziness, Back pain, Sinus inflammation, Increased potassium level in blood"
Vancomycin ,"Wheezing, ears, Decreased blood pressure, Injection site reactions (pain, swelling, Renal injury, neck and trunk), Flushing (sense of warmth in the face, redness), Breathlessness"
Varenicline ,"Nausea, Insomnia (difficulty in sleeping), Headache, Nasopharyngitis (inflammation of the throat and nasal passages), Abnormal dreams"
Varicella Vaccine ,"redness), Injection site reactions (pain, swelling, Fever"
Vasopressin ,"Decreased sodium level in blood, Slow heart rate, Ischemia, Decreased cardiac function"
Vecuronium ,"Increased saliva production, Injection site reactions (pain, swelling, High blood pressure, Skin rash, redness)"
Vi Capsular Polysaccharide Of Salmonella Typhi ,"Induration (hardening of a normally soft tissue or organ), Erythema (skin redness), Muscle pain, Nausea, Fever, Pain, Headache, Diarrhea, Tenderness"
Vildagliptin ,"Tremor, Headache, Dizziness, Fatigue, Nausea, Hypoglycemia (low blood glucose level)"
Vinblastine ,"Decreased white blood cell count, Nausea, Vomiting, Diarrhea, Decreased appetite"
Vincristine ,"Constipation, Hair loss, Peripheral neuropathy (tingling and numbness of feet and hand)"
Vinpocetine ,"ears, Dizziness, Insomnia (difficulty in sleeping), Nausea, Stomach pain, Nervousness, Dryness in mouth, neck and trunk), Flushing (sense of warmth in the face, Headache"
Vitamin A ,No common side effects seen
Vitamin B ,"ears, Gastrointestinal disturbance, Decreased white blood cell count, neck and trunk), Flushing (sense of warmth in the face"
Vitamin C ,"Injection site soreness, Nausea, Sore throat, Allergic reaction, No common side effects seen, Headache, Diarrhea"
Vitamin E ,"Nausea, Headache, Rash, Tiredness"
Vitamin K ,"ears, Taste change, Increased bilirubin in the blood, Decreased blood pressure, Itching, Skin eruptions, Cyanosis (bluish discoloration of the skin), neck and trunk), Flushing (sense of warmth in the face, Breathlessness, Skin erosion"
Voriconazole ,"Vomiting, Nausea, Hallucination, Abnormal liver function tests, Rash, Headache, Slow heart rate, Altered vision"
Xylitol ,No common side effects seen
Xylometazoline ,"Nasal irritation, Nasal discomfort, Dry nose, Burning sensation, Nausea, Sneezing, Dryness in mouth, Bitter taste, Headache"
Yellow fever virus ,"Injection site reactions (pain, swelling, Fever, Loss of appetite, Unusual crying, Drowsiness, redness), Weakness"
Zinc Carnosine ,Limited data available
Zinc Gluconate ,"Indigestion, Dehydration, Vomiting, Abdominal pain, Dizziness, Nausea, Stomach inflammation, Restlessness, Headache, Diarrhea"
Zinc Oxide ,No common side effects seen
Zinc Sulfate ,"Indigestion, Gastric irritation, Vomiting, Abdominal pain, Nausea, Diarrhea"
Zinc acetate ,"Decreased copper level, Vomiting, Dizziness, Nausea, Loss of appetite, Stomach cramp, Headache, Diarrhea, Decreased cholesterol level in blood, Weakness"
Zoledronic acid ,"Diarrhea, Back pain, muscle or joint) pain, Headache, Musculoskeletal (bone, Heartburn"
Zolmitriptan ,"ears, Peripheral neuropathy (tingling and numbness of feet and hand), Flushing (sense of warmth in the face, Dizziness, Nausea, Taste change, Tightness sensation, Fatigue, Heaviness, Dryness in mouth, neck and trunk), Drowsiness, Feeling of cold"
Zolpidem ,"Back pain, Double vision, Vomiting, Vertigo, Nausea, Memory loss, Dizziness, Fatigue, Stomach pain, Depression, Agitation, Sleepiness, Headache"
Zuclopenthixol ,"Increased prolactin level in blood, Tremor, Constipation, Urinary retention, Orthostatic hypotension (sudden lowering of blood pressure on standing), Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Weight gain"
carnitine ,"Vomiting, Nausea, Insomnia (difficulty in sleeping), Stomach pain, Injection site reactions (pain, swelling, Photosensitivity, Dizziness, Tiredness, Irritation, Rash, Headache, redness), Increased liver enzymes, Heartburn"
cyanoacrylate ,No common side effects seen
dried Live Attenuated Hepatitis A Vaccine ,"ears, Erythema (skin redness), Vomiting, Nausea, Sore throat, Abdominal pain, Fatigue, Fever, Loss of appetite, Feeling of discomfort, Pain, neck and trunk), Flushing (sense of warmth in the face, Headache, Tenderness, Anaphylactic reaction, Convulsion"
glutamine ,No common side effects seen
haemagglutinin complex ,"Flu-like symptoms, Tiredness, Injection site reactions (pain, swelling, redness), Weakness"
phasphate ,"Skin reaction, Itching, Acne"
s lactate ,"redness), Injection site reactions (pain, swelling"
trimoxazole ,"Nausea, Allergic reaction, Skin rash, Vomiting"
